,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
6065,37.59010833,127.0172111,0,0,0,0,1
6066,37.59002219,127.0171889,0,0,0,0,1
6067,37.58996108,127.0171889,0,0,0,0,1
6068,37.58995553,127.0171444,0,0,0,0,1
6069,37.59044997,127.0165778,1,0,0,0,0
6070,37.59044997,127.0165639,1,0,0,0,0
6071,37.59049972,127.0165639,1,0,0,0,0
6072,37.59051389,127.0165639,1,0,0,0,0
6073,37.59049722,127.0165722,1,0,0,0,0
6074,37.58913886,127.0101389,0,1,0,0,0
6075,37.58928608,127.0103,0,1,0,0,0
6076,37.58926664,127.0103389,0,1,0,0,0
6077,37.58926139,127.0103389,0,1,0,0,0
6078,37.38613056,126.9522167,0,0,0,1,0
6079,37.38613056,126.9521778,0,0,0,1,0
6081,37.38611942,126.9522166,0,1,0,0,0
6082,37.38613608,126.9521944,0,1,0,0,0
6083,37.38613889,126.9521861,0,1,0,0,0
6084,37.38619442,126.9522166,1,0,0,0,0
6085,37.38613608,126.9521778,1,0,0,0,0
6086,37.38612778,126.9521778,1,0,0,0,0
6087,37.38615,126.9521722,0,1,0,0,0
6088,37.38613889,126.9521778,0,1,0,0,0
6089,37.38613611,126.9521944,0,1,0,0,0
6090,37.38611944,126.9522083,0,0,0,0,1
6092,37.38612778,126.9521722,0,0,0,0,1
6093,37.00916686,127.0016697,0,1,0,0,0
6094,37.00916874,127.0016705,1,1,0,0,1
6095,37.00916908,127.0016706,1,1,0,0,1
6096,37.00889264,127.0016694,0,1,0,0,0
6097,35.01333657,127.002226,1,0,0,0,0
6099,35.01333657,127.002226,1,0,0,0,1
6100,35.01333656,127.002226,1,0,0,0,0
6101,35.01333655,127.002226,1,0,0,0,0
6102,35.01333633,127.0022265,1,0,0,0,1
6103,35.01333633,127.0022265,1,0,0,0,0
6104,35.01333629,127.0022266,1,0,0,0,0
6105,35.01333629,127.0022266,1,0,1,0,0
6107,35.01333628,127.0022267,0,0,0,0,1
6108,35.01333628,127.0022267,1,0,0,0,0
6111,35.01333628,127.0022267,0,1,0,0,0
6113,35.01333627,127.0022267,0,1,0,0,0
6114,35.01333627,127.0022267,1,0,0,0,0
6116,35.01333627,127.0022267,0,0,0,0,1
6117,35.01333627,127.0022267,0,0,1,0,0
6118,35.01333627,127.0022268,0,0,0,0,1
6119,35.01333628,127.0022268,1,0,0,0,0
6120,35.01333628,127.0022268,0,0,0,1,0
6121,35.01333627,127.0022268,0,1,0,0,0
6123,35.01333628,127.0022268,0,0,1,0,0
6124,35.01333629,127.0022268,0,0,1,0,0
6126,35.01333627,127.0022269,1,0,0,0,0
6127,35.01333626,127.0025,1,0,0,0,0
6128,35.01333623,127.0025005,1,0,0,0,0
6129,35.01333623,127.0025005,1,0,0,0,1
6130,35.01333623,127.0025005,0,0,0,0,1
6132,35.01333624,127.0025005,1,0,0,0,0
6134,35.01333627,127.0025,1,0,0,0,0
6135,35.01333625,127.0025005,0,0,1,0,0
6136,35.01333633,127.0022267,0,0,0,1,0
6137,35.01333632,127.0022267,1,0,0,0,0
6138,35.01333633,127.0022267,0,1,0,0,0
6139,35.01333638,127.0022266,1,0,0,0,0
6140,35.01333638,127.0022266,0,0,0,0,1
6141,35.01055565,127.005001,0,0,0,0,1
6142,35.01055566,127.005001,0,0,0,0,1
6143,35.01055569,127.0050009,0,0,0,0,1
6144,35.01055571,127.005001,0,1,0,0,0
6145,35.00666766,127.0061147,1,0,0,0,0
6146,35.01250168,127.0063935,1,0,0,0,0
6147,35.01250186,127.0066688,1,0,0,0,0
6149,35.01250184,127.0066688,1,0,0,0,0
6150,35.01250182,127.0066688,0,1,0,0,0
6151,35.01250195,127.0066672,0,1,0,0,0
6152,35.01250187,127.006667,0,1,0,0,0
6153,35.01250187,127.006667,0,0,1,0,0
6154,35.01250186,127.0066669,1,0,0,0,0
6155,35.01250185,127.0066667,1,0,0,0,0
6156,35.01250185,127.0063935,0,0,0,0,1
6157,35.01250169,127.0063935,1,1,0,0,1
6158,35.01250169,127.0063935,1,0,0,0,0
6159,35.0125017,127.0063935,0,1,0,0,0
6160,35.01250169,127.0063935,0,1,0,0,0
6161,35.0125017,127.0063935,0,0,0,1,0
6162,35.01250171,127.0063935,1,0,0,0,0
6164,35.01250172,127.0063935,0,1,0,0,0
6165,35.01250199,127.006393,1,0,0,0,0
6166,35.01250202,127.0063929,1,0,0,0,0
6167,35.01250202,127.0063929,0,1,0,0,0
6168,35.01250203,127.0063929,1,0,0,0,0
6169,35.01250204,127.0063929,0,1,0,0,0
6171,35.01250204,127.0063929,0,0,0,0,1
6172,35.01250204,127.0063929,1,0,0,0,0
6173,35.01250205,127.0063929,0,1,0,0,0
6174,35.01250205,127.0063929,1,0,0,0,0
6175,35.01250205,127.0063929,1,1,0,0,0
6176,35.01250205,127.0063928,0,1,0,0,0
6177,35.01250205,127.0063928,0,0,1,0,0
6178,35.01250205,127.0063928,1,0,0,0,0
6180,35.01250205,127.0063928,0,0,0,0,1
6184,35.01250206,127.0063928,0,0,0,0,1
6185,35.01250206,127.0063928,0,1,0,0,0
6187,35.01250206,127.0063928,1,0,0,0,1
6188,35.01250206,127.0063928,0,0,1,0,0
6189,35.01250206,127.0063928,1,0,0,0,0
6192,35.01250207,127.0063928,0,0,1,0,0
6193,35.01250207,127.0063928,1,0,0,0,0
6194,35.01250209,127.0063927,0,0,1,0,0
6195,35.01250209,127.0063927,0,0,0,0,1
6196,35.01250209,127.0063927,1,0,0,0,0
6197,35.0125021,127.0063927,0,0,0,0,1
6198,35.0125021,127.0063927,1,0,0,0,0
6200,35.01250211,127.0063927,0,0,0,0,1
6201,35.01250211,127.0063926,0,0,0,0,1
6202,35.01250211,127.0063926,0,0,1,0,0
6203,35.01250211,127.0063926,1,0,0,0,0
6206,37.00889344,127.0016696,1,1,0,0,1
6207,37.00916765,127.0016701,1,0,0,0,0
6208,37.00889349,127.0016696,1,1,0,0,1
6209,37.00917083,127.0030569,0,1,0,0,0
6210,37.00917082,127.0030569,1,0,0,0,0
6211,37.00917072,127.0030571,1,0,0,0,0
6212,37.00917052,127.0030572,1,0,0,0,0
6213,37.00917049,127.0030572,0,0,0,0,1
6214,37.00917046,127.0030572,1,0,0,0,0
6215,37.00917029,127.0030572,1,0,0,0,0
